record_id,nama_usaha,alamat,kecamatan
R004130,PT  Abadi Sentosa,JALAN MERDEKA NOMOR 224 RT 03 RW 05,Bogor Utara
R004879,STUDIO Anugerah Elektronik,JALAN FLAMBOYAN NOMOR 29 RT 01 RW 04,Bogor Timur
R011392,KEDAI Berkah Utama 152,JALAN FLAMBOYAN 247 RT 13 RW 3,Bogor Utara
R003472,Pt Sentosa Kreatif,"Jalan Cempaka Nomor 194, RT 07 RW 06",Tanah Sareal
R005839,PT Karya Bersama,JALAN KENANGA NOMOR 244 RT 07 RW 07,Tanah Sareal
R012214,KEDAI Lestari Karya 829,JALAN KENCANA NOMOR 228 RT 06 RW 09,Bogor Selatan
R006267,CV Jaya Digital,JALAN PAJAJARAN NOMOR 117 RT 13 RW 03,Tanah Sareal
R009524,DEPOT Mandiri Motor 650,JALAN SENTOSA NOMOR 55 RT 08 RW 01,Bogor Selatan
R002437,STUDIO Utama Karya,JALAN MENTARI NOMOR 245 RT 04 RW 10,Bogor Tengah
R010210,BENGKEL Nusantara Mandiri 177,JALAN MERDEKA NOMOR 244 RT 09 RW 08,Bogor Barat
R008424,CV Cahaya Busana 762,JALAN MELATI NOMOR 124 RT 08 RW 08,Bogor Barat
R008315,STUDIO Utama Kreatif 672,JALAN KAMBOJA NOMOR 164 RT 05 RW 12,Bogor Tengah
R011155,CV Sentosa Rasa 950,JALAN PINUS NOMOR 44 RT 14 RW 04,Bogor Tengah
R007882,STUDIO Prima Bersama 316,JALAN SUKAMAJU NOMOR 25 RT 01 RW 12,Bogor Timur
R002559,UD Mandiri Utama,JALAN FLAMBOYAN NOMOR 146 RT 06 RW 05,Bogor Selatan
R005880,CV Makmur Bersama,JALAN PINUS NOMOR 139 RT 05 RW 01,Bogor Tengah
R002940,bengkel kencana elektronik,jl harapan no 12 rt 12 rw 3,Bogor Timur
R008432,CV Harapan Utama 768,JALAN HARAPAN NOMOR 129 RT 09 RW 10,Bogor Selatan
R007528,TOKO Karya Utama 049,JALAN KEBUN RAYA NOMOR 21 RT 13 RW 12,Bogor Timur
R004897,PT  Sentosa Jaya,JALAN MAWAR NOMOR 221 RT 02 RW 09,Bogor Utara
R011172,PT Kencana Pangan 966,JALAN MELATI NOMOR 233 RT 14 RW 09,Tanah Sareal
R007984,TOKO Maju Busana 402,JALAN RAMBUTAN NOMOR 152 RT 03 RW 01,Bogor Selatan
R013054,KEDAI Sentosa Makmur 513,JALAN KEMUNING NOMOR 132 RT 14 RW 02,Bogor Utara
R011088,UD Prima Teknik 893,JALAN DAHLIA NOMOR 31 RT 07 RW 08,Bogor Selatan
R008363,UD Anugerah Busana 710,JALAN TERATAI NOMOR 138 RT 15 RW 01,Bogor Tengah
R002712,DEPOT Cahaya Pangan,JALAN DAHLIA NOMOR 36 RT 14 RW 06,Bogor Barat
R006968,TOKO Prima Pangan,JALAN MELATI NOMOR 208 RT 03 RW 01,Tanah Sareal
R013234,UD Makmur Abadi 652,JALAN TERATAI NOMOR 219 RT 10 RW 03,Bogor Selatan
R002078,KEDAI Lestari Elektronik,JLN. Kenanga No 102 RT.09/RW.04,Bogor Timur
R001106,CV Anugerah Abadi,JALAN DURIAN NOMOR 174 RT 10 RW 07,Bogor Barat
R001672,WARUNG Lestari Rasa,JALAN KEMUNING NOMOR 154 RT 02 RW 12,Bogor Utara
R005864,DEPOT Sukses Niaga,JALAN MERDEKA NOMOR 128 RT 14 RW 10,Bogor Barat
R002388,UD Utama Pangan,JALAN KENCANA NOMOR 239 RT 15 RW 02,Bogor Selatan
R011954,WARUNG Berkah Utama 611,JALAN SEJAHTERA NOMOR 229 RT 04 RW 01,Bogor Timur
R000038,KEDAI Makmur Motor,JALAN PAJAJARAN NOMOR 70 RT 13 RW 12,Bogor Timur
R004926,UD Prima Bersama,JALAN FLAMBOYAN NOMOR 143 RT 08 RW 03,Tanah Sareal
